tract_geoid,community_plan_area,council_district,permits_per_1000_units,pressure_score_equal_weight,quadrant
06037119341,Mission Hills - Panorama City - North Hills,6,111.37,61.9,High pressure / Low development (priority gap)
06037237600,South Los Angeles,8,112.42,61.8,High pressure / Low development (priority gap)
06037204910,Boyle Heights,14,116.74,61.8,High pressure / Low development (priority gap)
06037139303,Encino - Tarzana,3,56.96,61.8,High pressure / Low development (priority gap)
06037199002,Northeast Los Angeles,1,50.96,61.8,High pressure / Low development (priority gap)
06037203500,Boyle Heights,14,119.24,61.7,High pressure / Low development (priority gap)
06037139401,Encino - Tarzana,3,129.68,61.7,High pressure / Low development (priority gap)
06037216201,Wilshire,5,79.16,61.7,High pressure / Low development (priority gap)
06037125402,North Hollywood - Valley Village,2,145.45,61.7,High pressure / Low development (priority gap)
06037204810,Boyle Heights,14,76.21,61.6,High pressure / Low development (priority gap)
06037269903,Palms - Mar Vista - Del Rey,5,83.02,61.6,High pressure / Low development (priority gap)
06037115104,Northridge,12,109.9,61.2,High pressure / Low development (priority gap)
06037143605,Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,2,17.06,61.1,High pressure / Low development (priority gap)
06037267404,West Los Angeles,11,61.12,61.1,High pressure / Low development (priority gap)
06037228420,Southeast Los Angeles,9,101.74,61.0,High pressure / Low development (priority gap)
06037221210,South Los Angeles,10,100.83,61.0,High pressure / Low development (priority gap)
06037242202,Southeast Los Angeles,15,63.06,60.9,High pressure / Low development (priority gap)
06037239801,Southeast Los Angeles,9,129.41,60.9,High pressure / Low development (priority gap)
06037207712,Central City,14,2.14,60.9,High pressure / Low development (priority gap)
06037134907,Canoga Park-West Hills-Winnetka-Woodland Hills,3,15.1,60.9,High pressure / Low development (priority gap)
06037203200,Boyle Heights,14,100.83,60.9,High pressure / Low development (priority gap)
06037232401,South Los Angeles,8,100.44,60.8,High pressure / Low development (priority gap)
06037141303,Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,4,63.26,60.8,High pressure / Low development (priority gap)
06037183810,Northeast Los Angeles,1,113.08,60.8,High pressure / Low development (priority gap)
06037127605,Van Nuys - North Sherman Oaks,6,135.44,60.7,High pressure / Low development (priority gap)
06037229100,Southeast Los Angeles,9,107.8,60.7,High pressure / Low development (priority gap)
06037111402,Granada Hills - Knollwood,12,85.78,60.5,High pressure / Low development (priority gap)
06037104703,Arleta - Pacoima,7,44.14,60.5,High pressure / Low development (priority gap)
06037191204,Hollywood,13,139.02,60.3,High pressure / Low development (priority gap)
06037272302,Palms - Mar Vista - Del Rey,11,131.38,60.3,High pressure / Low development (priority gap)
06037213202,Wilshire,10,125.0,60.2,High pressure / Low development (priority gap)
06037276607,Westchester - Playa del Rey,11,55.2,60.2,High pressure / Low development (priority gap)
06037189907,Hollywood,13,27.8,60.1,High pressure / Low development (priority gap)
06037104105,Arleta - Pacoima,7,52.53,59.9,High pressure / Low development (priority gap)
06037240600,Southeast Los Angeles,8,140.75,59.8,High pressure / Low development (priority gap)
06037135115,Canoga Park-West Hills-Winnetka-Woodland Hills,3,28.01,59.8,High pressure / Low development (priority gap)
06037204300,Boyle Heights,14,116.98,59.7,High pressure / Low development (priority gap)
06037228100,Southeast Los Angeles,9,130.4,59.7,High pressure / Low development (priority gap)
06037269905,Palms - Mar Vista - Del Rey,5,65.23,59.6,High pressure / Low development (priority gap)
06037191301,Hollywood,13,136.02,59.5,High pressure / Low development (priority gap)
06037232701,South Los Angeles,9,104.42,59.5,High pressure / Low development (priority gap)
06037203710,Boyle Heights,14,111.5,59.5,High pressure / Low development (priority gap)
06037273404,Venice,11,46.38,59.5,High pressure / Low development (priority gap)
06037232602,South Los Angeles,9,89.04,59.4,High pressure / Low development (priority gap)
06037128703,Van Nuys - North Sherman Oaks,4,49.7,59.4,High pressure / Low development (priority gap)
06037189801,Hollywood,13,72.4,59.4,High pressure / Low development (priority gap)
06037125101,North Hollywood - Valley Village,2,43.19,59.3,High pressure / Low development (priority gap)
06037294510,Wilmington - Harbor City,15,87.32,59.3,High pressure / Low development (priority gap)
06037228800,Southeast Los Angeles,9,73.23,59.2,High pressure / Low development (priority gap)
06037206052,Central City North,14,6.73,59.1,High pressure / Low development (priority gap)
06037215102,Wilshire,5,31.36,59.1,High pressure / Low development (priority gap)
06037216302,Wilshire,5,99.24,59.0,High pressure / Low development (priority gap)
06037297201,San Pedro,15,143.64,59.0,High pressure / Low development (priority gap)
06037276101,Westchester - Playa del Rey,11,16.1,59.0,High pressure / Low development (priority gap)
06037103201,Sunland-E LaTuna Cyn-Lakevw Ter-Shadow Hls-Tujunga,7,118.37,59.0,High pressure / Low development (priority gap)
06037271803,Palms - Mar Vista - Del Rey,5,38.81,59.0,High pressure / Low development (priority gap)
06037203720,Boyle Heights,14,117.37,58.9,High pressure / Low development (priority gap)
06037239501,Southeast Los Angeles,9,105.0,58.8,High pressure / Low development (priority gap)
06037119342,Mission Hills - Panorama City - North Hills,6,67.24,58.6,High pressure / Low development (priority gap)
06037135113,Canoga Park-West Hills-Winnetka-Woodland Hills,3,5.83,58.5,High pressure / Low development (priority gap)
06037216402,Wilshire,5,137.17,58.5,High pressure / Low development (priority gap)
06037128801,Van Nuys - North Sherman Oaks,4,93.86,58.4,High pressure / Low development (priority gap)
06037227020,Southeast Los Angeles,9,112.78,58.4,High pressure / Low development (priority gap)
06037267406,West Los Angeles,11,47.24,58.3,High pressure / Low development (priority gap)
06037199801,Northeast Los Angeles,14,79.83,58.2,High pressure / Low development (priority gap)
06037228710,Southeast Los Angeles,9,81.67,58.2,High pressure / Low development (priority gap)
06037271702,Palms - Mar Vista - Del Rey,5,124.35,58.2,High pressure / Low development (priority gap)
06037267503,West Los Angeles,11,46.66,58.1,High pressure / Low development (priority gap)
06037189703,Hollywood,4,113.99,58.0,High pressure / Low development (priority gap)
06037207902,Central City,14,7.98,57.9,High pressure / Low development (priority gap)
06037297120,San Pedro,15,110.62,57.9,High pressure / Low development (priority gap)
06037208302,Westlake,13,82.16,57.9,High pressure / Low development (priority gap)
06037271804,Palms - Mar Vista - Del Rey,5,110.29,57.8,High pressure / Low development (priority gap)
06037276102,Westchester - Playa del Rey,11,79.35,57.8,High pressure / Low development (priority gap)
06037134104,Canoga Park-West Hills-Winnetka-Woodland Hills,3,143.06,57.8,High pressure / Low development (priority gap)
06037294610,Wilmington - Harbor City,15,97.18,57.8,High pressure / Low development (priority gap)
06037221820,South Los Angeles,9,147.33,78.0,High pressure / High development
06037241120,Southeast Los Angeles,8,151.61,76.3,High pressure / High development
06037123203,North Hollywood - Valley Village,2,147.64,75.8,High pressure / High development
06037123410,North Hollywood - Valley Village,2,160.38,75.7,High pressure / High development
06037221900,South Los Angeles,9,165.7,75.6,High pressure / High development
06037221302,South Los Angeles,10,177.35,72.9,High pressure / High development
06037237500,South Los Angeles,8,150.25,72.8,High pressure / High development
06037231210,South Los Angeles,8,190.95,71.8,High pressure / High development
06037195710,Silver Lake - Echo Park - Elysian Valley,13,155.3,70.0,High pressure / High development
06037242100,Southeast Los Angeles,15,238.79,70.0,High pressure / High development
06037127603,Van Nuys - North Sherman Oaks,6,200.0,69.9,High pressure / High development
06037222600,South Los Angeles,8,283.25,69.6,High pressure / High development
06037234502,West Adams - Baldwin Hills - Leimert,8,233.71,69.3,High pressure / High development
06037125501,North Hollywood - Valley Village,2,241.42,69.3,High pressure / High development
06037117201,Mission Hills - Panorama City - North Hills,7,159.11,69.2,High pressure / High development
06037221710,South Los Angeles,8,150.62,69.0,High pressure / High development
06037237710,South Los Angeles,8,159.39,68.9,High pressure / High development
06037123205,North Hollywood - Valley Village,2,224.41,68.7,High pressure / High development
06037124204,North Hollywood - Valley Village,2,215.36,68.4,High pressure / High development
06037213100,Wilshire,10,171.74,68.4,High pressure / High development
06037218110,West Adams - Baldwin Hills - Leimert,10,169.88,68.3,High pressure / High development
06037235202,West Adams - Baldwin Hills - Leimert,8,201.29,68.0,High pressure / High development
06037241002,Southeast Los Angeles,15,195.1,68.0,High pressure / High development
06037127805,Van Nuys - North Sherman Oaks,6,190.72,68.0,High pressure / High development
06037240020,Southeast Los Angeles,9,190.33,68.0,High pressure / High development
06037220000,West Adams - Baldwin Hills - Leimert,10,319.79,67.8,High pressure / High development
06037218800,West Adams - Baldwin Hills - Leimert,10,157.89,67.6,High pressure / High development
06037115202,Northridge,12,244.87,67.6,High pressure / High development
06037123510,Van Nuys - North Sherman Oaks,2,165.29,67.5,High pressure / High development
06037127104,Van Nuys - North Sherman Oaks,2,217.39,67.4,High pressure / High development
06037128220,Van Nuys - North Sherman Oaks,2,169.0,67.4,High pressure / High development
06037121801,Sun Valley - La Tuna Canyon,6,182.87,67.3,High pressure / High development
06037234002,West Adams - Baldwin Hills - Leimert,10,197.04,67.1,High pressure / High development
06037191410,Hollywood,13,149.16,66.9,High pressure / High development
06037222200,South Los Angeles,8,162.87,66.7,High pressure / High development
06037123010,Sun Valley - La Tuna Canyon,2,198.25,66.6,High pressure / High development
06037980015,Wilmington - Harbor City,15,1233.39,65.9,High pressure / High development
06037123520,Van Nuys - North Sherman Oaks,2,265.16,65.6,High pressure / High development
06037238100,South Los Angeles,8,245.6,65.3,High pressure / High development
06037218210,West Adams - Baldwin Hills - Leimert,10,176.2,65.3,High pressure / High development
06037269601,West Adams - Baldwin Hills - Leimert,10,172.79,64.9,High pressure / High development
06037240700,Southeast Los Angeles,8,169.07,64.7,High pressure / High development
06037241202,South Los Angeles,8,165.09,64.5,High pressure / High development
06037115401,Northridge,12,193.14,64.4,High pressure / High development
06037124105,North Hollywood - Valley Village,2,198.2,64.4,High pressure / High development
06037208501,Westlake,13,164.67,63.8,High pressure / High development
06037124300,North Hollywood - Valley Village,2,294.36,63.8,High pressure / High development
06037192300,Wilshire,4,172.07,63.7,High pressure / High development
06037124203,North Hollywood - Valley Village,2,325.33,63.7,High pressure / High development
06037186401,Northeast Los Angeles,13,320.65,63.5,High pressure / High development
06037128601,Van Nuys - North Sherman Oaks,4,185.65,63.3,High pressure / High development
06037124102,North Hollywood - Valley Village,2,207.5,63.3,High pressure / High development
06037115403,Northridge,12,205.24,63.2,High pressure / High development
06037237800,South Los Angeles,8,292.45,62.9,High pressure / High development
06037123901,North Hollywood - Valley Village,2,306.17,62.9,High pressure / High development
06037218300,West Adams - Baldwin Hills - Leimert,10,249.01,62.8,High pressure / High development
06037127400,Van Nuys - North Sherman Oaks,6,150.96,62.7,High pressure / High development
06037186301,Northeast Los Angeles,13,325.56,62.5,High pressure / High development
06037127606,Van Nuys - North Sherman Oaks,6,172.65,62.4,High pressure / High development
06037201401,Northeast Los Angeles,14,213.16,62.3,High pressure / High development
06037141101,Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,4,151.63,62.1,High pressure / High development
06037188100,Northeast Los Angeles,13,202.76,62.0,High pressure / High development
06037208402,Westlake,13,169.96,61.9,High pressure / High development
06037123104,North Hollywood - Valley Village,2,190.0,61.8,High pressure / High development
06037127920,Van Nuys - North Sherman Oaks,2,175.21,61.7,High pressure / High development
06037123420,North Hollywood - Valley Village,2,151.22,61.6,High pressure / High development
06037185320,Northeast Los Angeles,1,176.59,61.6,High pressure / High development
06037240800,Southeast Los Angeles,8,165.3,61.6,High pressure / High development
06037195901,Silver Lake - Echo Park - Elysian Valley,13,272.1,61.5,High pressure / High development
06037122121,Sun Valley - La Tuna Canyon,2,149.44,61.5,High pressure / High development
06037124103,North Hollywood - Valley Village,2,288.59,61.5,High pressure / High development
06037218220,West Adams - Baldwin Hills - Leimert,10,243.24,61.1,High pressure / High development
06037222002,South Los Angeles,8,178.04,61.1,High pressure / High development
06037128602,Van Nuys - North Sherman Oaks,2,431.11,61.0,High pressure / High development
06037197500,Silver Lake - Echo Park - Elysian Valley,1,169.65,60.9,High pressure / High development
06037121900,Sun Valley - La Tuna Canyon,6,213.13,60.8,High pressure / High development
06037128101,Van Nuys - North Sherman Oaks,2,273.86,60.8,High pressure / High development
06037265204,Westwood,5,157.49,60.8,High pressure / High development
06037195720,Silver Lake - Echo Park - Elysian Valley,13,218.97,60.7,High pressure / High development
06037296500,San Pedro,15,148.59,60.7,High pressure / High development
06037238200,South Los Angeles,8,220.94,60.7,High pressure / High development
06037134002,Canoga Park-West Hills-Winnetka-Woodland Hills,3,205.42,60.7,High pressure / High development
06037231400,South Los Angeles,8,181.3,60.6,High pressure / High development
06037235201,West Adams - Baldwin Hills - Leimert,8,422.34,60.5,High pressure / High development
06037127804,Van Nuys - North Sherman Oaks,6,151.34,60.5,High pressure / High development
06037219300,West Adams - Baldwin Hills - Leimert,10,197.36,60.5,High pressure / High development
06037211500,Wilshire,13,249.5,60.5,High pressure / High development
06037197600,Silver Lake - Echo Park - Elysian Valley,1,172.16,60.5,High pressure / High development
06037183610,Northeast Los Angeles,1,148.94,60.4,High pressure / High development
06037131023,Reseda - West Van Nuys,3,147.17,60.3,High pressure / High development
06037104404,Arleta - Pacoima,7,163.54,60.3,High pressure / High development
06037132102,Reseda - West Van Nuys,6,194.53,60.2,High pressure / High development
06037191420,Hollywood,13,208.26,60.1,High pressure / High development
06037265100,Westwood,5,407.34,60.0,High pressure / High development
06037232500,South Los Angeles,8,207.24,59.8,High pressure / High development
06037102103,Sun Valley - La Tuna Canyon,2,332.52,59.8,High pressure / High development
06037269100,West Los Angeles,5,240.98,59.7,High pressure / High development
06037270200,West Adams - Baldwin Hills - Leimert,10,283.85,59.6,High pressure / High development
06037218500,West Adams - Baldwin Hills - Leimert,10,253.59,59.6,High pressure / High development
06037122420,Sun Valley - La Tuna Canyon,2,181.0,59.6,High pressure / High development
06037218701,West Adams - Baldwin Hills - Leimert,10,284.28,59.6,High pressure / High development
06037188201,Hollywood,4,215.79,59.5,High pressure / High development
06037131702,Reseda - West Van Nuys,3,194.44,59.5,High pressure / High development
06037234600,West Adams - Baldwin Hills - Leimert,8,363.49,59.5,High pressure / High development
06037123602,Van Nuys - North Sherman Oaks,2,337.94,59.3,High pressure / High development
06037127806,Van Nuys - North Sherman Oaks,6,151.43,59.2,High pressure / High development
06037217200,Wilshire,10,205.85,59.2,High pressure / High development
06037186404,Northeast Los Angeles,1,222.09,59.1,High pressure / High development
06037267502,West Los Angeles,11,178.77,58.8,High pressure / High development
06037275500,Palms - Mar Vista - Del Rey,11,164.86,58.8,High pressure / High development
06037273300,Venice,11,163.41,58.8,High pressure / High development
06037269602,West Adams - Baldwin Hills - Leimert,10,202.83,58.7,High pressure / High development
06037115302,Northridge,12,192.56,58.7,High pressure / High development
06037240402,South Los Angeles,8,153.64,58.6,High pressure / High development
06037241300,South Los Angeles,15,176.31,58.6,High pressure / High development
06037120300,Mission Hills - Panorama City - North Hills,6,267.61,58.6,High pressure / High development
06037187102,Northeast Los Angeles,13,200.12,58.6,High pressure / High development
06037274100,Venice,11,175.19,58.4,High pressure / High development
06037222100,South Los Angeles,8,160.33,58.3,High pressure / High development
06037214800,Wilshire,5,197.87,58.3,High pressure / High development
06037273800,Venice,11,213.13,58.2,High pressure / High development
06037212701,Wilshire,5,192.05,58.1,High pressure / High development
06037195903,Silver Lake - Echo Park - Elysian Valley,13,286.16,58.0,High pressure / High development
06037137501,Canoga Park-West Hills-Winnetka-Woodland Hills,3,207.67,58.0,High pressure / High development
06037222500,South Los Angeles,8,292.86,57.9,High pressure / High development
06037238000,South Los Angeles,8,300.86,57.9,High pressure / High development
06037267600,West Los Angeles,11,312.41,57.8,High pressure / High development
06037104823,Arleta - Pacoima,7,105.63,57.7,Lower pressure / Low development
06037195802,Silver Lake - Echo Park - Elysian Valley,13,195.73,57.6,Lower pressure / High development
06037297601,San Pedro,15,72.26,57.6,Lower pressure / Low development
06037293304,Wilmington - Harbor City,15,132.28,57.6,Lower pressure / Low development
06037269907,Palms - Mar Vista - Del Rey,5,84.77,57.5,Lower pressure / Low development
06037119320,Mission Hills - Panorama City - North Hills,6,125.38,57.5,Lower pressure / Low development
06037241201,South Los Angeles,8,217.99,57.4,Lower pressure / High development
06037265522,Westwood,5,39.25,57.4,Lower pressure / Low development
06037106114,Sylmar,7,102.22,57.4,Lower pressure / Low development
06037189101,Hollywood,4,160.47,57.3,Lower pressure / High development
06037240302,South Los Angeles,8,99.74,57.3,Lower pressure / Low development
06037124000,North Hollywood - Valley Village,2,276.33,57.3,Lower pressure / High development
06037123303,North Hollywood - Valley Village,2,284.62,57.2,Lower pressure / High development
06037194101,Hollywood,4,196.17,57.2,Lower pressure / High development
06037293307,Wilmington - Harbor City,15,77.09,57.2,Lower pressure / Low development
06037239601,Southeast Los Angeles,9,107.47,57.2,Lower pressure / Low development
06037120010,Mission Hills - Panorama City - North Hills,6,271.77,57.2,Lower pressure / High development
06037183820,Northeast Los Angeles,1,140.8,57.1,Lower pressure / Low development
06037127300,Van Nuys - North Sherman Oaks,6,169.76,57.1,Lower pressure / High development
06037125502,North Hollywood - Valley Village,2,174.08,57.0,Lower pressure / High development
06037197420,Silver Lake - Echo Park - Elysian Valley,13,195.18,57.0,Lower pressure / High development
06037237201,South Los Angeles,9,160.71,57.0,Lower pressure / High development
06037272202,Palms - Mar Vista - Del Rey,11,184.02,56.9,Lower pressure / High development
06037194401,Hollywood,5,193.07,56.9,Lower pressure / High development
06037124500,Van Nuys - North Sherman Oaks,4,310.4,56.9,Lower pressure / High development
06037121222,Sun Valley - La Tuna Canyon,6,206.63,56.8,Lower pressure / High development
06037195803,Silver Lake - Echo Park - Elysian Valley,13,350.7,56.8,Lower pressure / High development
06037104203,Arleta - Pacoima,7,132.3,56.7,Lower pressure / Low development
06037139302,Encino - Tarzana,3,38.76,56.7,Lower pressure / Low development
06037204920,Boyle Heights,14,106.99,56.7,Lower pressure / Low development
06037231302,South Los Angeles,8,90.81,56.7,Lower pressure / Low development
06037217102,Wilshire,10,159.91,56.6,Lower pressure / High development
06037204110,Boyle Heights,14,121.9,56.6,Lower pressure / Low development
06037106604,Sylmar,7,193.6,56.6,Lower pressure / High development
06037141102,Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,4,215.66,56.5,Lower pressure / High development
06037267405,West Los Angeles,11,48.73,56.5,Lower pressure / Low development
06037132101,Reseda - West Van Nuys,6,238.04,56.5,Lower pressure / High development
06037195600,Silver Lake - Echo Park - Elysian Valley,13,298.0,56.5,Lower pressure / High development
06037134802,Canoga Park-West Hills-Winnetka-Woodland Hills,3,225.38,56.5,Lower pressure / High development
06037264304,Brentwood - Pacific Palisades,11,57.09,56.4,Lower pressure / Low development
06037143603,Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,2,163.0,56.4,Lower pressure / High development
06037273403,Venice,11,72.18,56.3,Lower pressure / Low development
06037106648,Sylmar,7,93.33,56.3,Lower pressure / Low development
06037192001,Hollywood,5,217.48,56.2,Lower pressure / High development
06037272201,Palms - Mar Vista - Del Rey,11,235.6,56.2,Lower pressure / High development
06037183520,Northeast Los Angeles,1,216.55,56.1,Lower pressure / High development
06037271200,Palms - Mar Vista - Del Rey,11,145.45,56.1,Lower pressure / Low development
06037131701,Reseda - West Van Nuys,3,101.77,56.1,Lower pressure / Low development
06037242700,Southeast Los Angeles,15,140.72,56.1,Lower pressure / Low development
06037134103,Canoga Park-West Hills-Winnetka-Woodland Hills,3,274.55,56.1,Lower pressure / High development
06037270102,Palms - Mar Vista - Del Rey,5,31.32,56.0,Lower pressure / Low development
06037218702,West Adams - Baldwin Hills - Leimert,10,191.6,55.9,Lower pressure / High development
06037121102,Sun Valley - La Tuna Canyon,6,322.93,55.9,Lower pressure / High development
06037185310,Northeast Los Angeles,1,194.72,55.9,Lower pressure / High development
06037269909,Palms - Mar Vista - Del Rey,5,25.91,55.8,Lower pressure / Low development
06037122200,Sun Valley - La Tuna Canyon,2,273.4,55.8,Lower pressure / High development
06037217101,Wilshire,10,122.96,55.8,Lower pressure / Low development
06037269906,Palms - Mar Vista - Del Rey,5,65.2,55.6,Lower pressure / Low development
06037183701,Northeast Los Angeles,1,150.0,55.6,Lower pressure / High development
06037242201,Southeast Los Angeles,15,67.19,55.6,Lower pressure / Low development
06037211701,Wilshire,13,170.26,55.6,Lower pressure / High development
06037125200,North Hollywood - Valley Village,2,186.82,55.5,Lower pressure / High development
06037237900,South Los Angeles,8,331.42,55.5,Lower pressure / High development
06037237401,South Los Angeles,8,147.45,55.4,Lower pressure / High development
06037273502,Venice,11,143.2,55.4,Lower pressure / Low development
06037214904,Wilshire,5,95.98,55.4,Lower pressure / Low development
06037185203,Northeast Los Angeles,1,231.44,55.4,Lower pressure / High development
06037123301,North Hollywood - Valley Village,2,107.37,55.4,Lower pressure / Low development
06037115204,Northridge,12,81.07,55.3,Lower pressure / Low development
06037195300,Hollywood,4,221.57,55.2,Lower pressure / High development
06037134304,Canoga Park-West Hills-Winnetka-Woodland Hills,3,315.34,55.2,Lower pressure / High development
06037121020,Sun Valley - La Tuna Canyon,2,260.53,55.2,Lower pressure / High development
06037143102,Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,2,46.05,55.2,Lower pressure / Low development
06037214600,Wilshire,5,230.61,55.2,Lower pressure / High development
06037219901,West Adams - Baldwin Hills - Leimert,10,177.16,55.2,Lower pressure / High development
06037293203,Harbor Gateway,15,85.76,55.1,Lower pressure / Low development
06037291220,Harbor Gateway,15,162.71,55.1,Lower pressure / High development
06037121101,Sun Valley - La Tuna Canyon,6,121.71,55.1,Lower pressure / Low development
06037141306,Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,4,78.54,55.1,Lower pressure / Low development
06037123800,North Hollywood - Valley Village,2,264.56,55.0,Lower pressure / High development
06037141201,Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,4,130.88,55.0,Lower pressure / Low development
06037123902,North Hollywood - Valley Village,2,269.6,54.9,Lower pressure / High development
06037203800,Boyle Heights,14,112.75,54.9,Lower pressure / Low development
06037265524,Westwood,5,90.14,54.9,Lower pressure / Low development
06037219020,West Adams - Baldwin Hills - Leimert,10,252.41,54.8,Lower pressure / High development
06037119310,Mission Hills - Panorama City - North Hills,6,224.86,54.8,Lower pressure / High development
06037217002,Wilshire,5,244.0,54.7,Lower pressure / High development
06037218400,West Adams - Baldwin Hills - Leimert,10,346.66,54.7,Lower pressure / High development
06037238400,South Los Angeles,8,284.0,54.7,Lower pressure / High development
06037107020,Sylmar,7,208.07,54.7,Lower pressure / High development
06037104108,Arleta - Pacoima,7,102.82,54.6,Lower pressure / Low development
06037270101,Palms - Mar Vista - Del Rey,5,40.22,54.5,Lower pressure / Low development
06037231601,South Los Angeles,8,77.99,54.5,Lower pressure / Low development
06037239502,Southeast Los Angeles,9,132.96,54.5,Lower pressure / Low development
06037278001,Westchester - Playa del Rey,11,210.93,54.4,Lower pressure / High development
06037139506,Encino - Tarzana,4,25.95,54.4,Lower pressure / Low development
06037219800,West Adams - Baldwin Hills - Leimert,10,231.91,54.2,Lower pressure / High development
06037191902,Hollywood,5,314.2,54.2,Lower pressure / High development
06037214902,Wilshire,5,68.97,54.1,Lower pressure / Low development
06037128802,Van Nuys - North Sherman Oaks,4,222.03,54.0,Lower pressure / High development
06037241110,Southeast Los Angeles,8,115.38,53.9,Lower pressure / Low development
06037141400,Encino - Tarzana,4,325.44,53.8,Lower pressure / High development
06037267300,West Los Angeles,11,62.2,53.7,Lower pressure / Low development
06037113212,Chatsworth - Porter Ranch,12,187.0,53.7,Lower pressure / High development
06037134904,Canoga Park-West Hills-Winnetka-Woodland Hills,3,276.83,53.7,Lower pressure / High development
06037189903,Hollywood,4,46.38,53.6,Lower pressure / Low development
06037294410,Wilmington - Harbor City,15,27.41,53.6,Lower pressure / Low development
06037183402,Northeast Los Angeles,14,267.19,53.6,Lower pressure / High development
06037113324,Chatsworth - Porter Ranch,12,8.6,53.5,Lower pressure / Low development
06037122120,Sun Valley - La Tuna Canyon,6,232.67,53.5,Lower pressure / High development
06037297202,San Pedro,15,161.2,53.5,Lower pressure / High development
06037226702,Southeast Los Angeles,9,50.96,53.4,Lower pressure / Low development
06037197300,Silver Lake - Echo Park - Elysian Valley,13,235.54,53.4,Lower pressure / High development
06037243001,Southeast Los Angeles,15,92.62,53.3,Lower pressure / Low development
06037132900,Reseda - West Van Nuys,3,359.05,53.2,Lower pressure / High development
06037127711,Van Nuys - North Sherman Oaks,6,313.92,53.2,Lower pressure / High development
06037189702,Hollywood,4,194.46,53.2,Lower pressure / High development
06037220100,West Adams - Baldwin Hills - Leimert,10,275.17,53.1,Lower pressure / High development
06037204120,Boyle Heights,14,104.68,53.1,Lower pressure / Low development
06037183103,Northeast Los Angeles,14,158.8,53.1,Lower pressure / High development
06037203602,Boyle Heights,14,78.81,53.0,Lower pressure / Low development
06037134001,Canoga Park-West Hills-Winnetka-Woodland Hills,3,170.1,53.0,Lower pressure / High development
06037219902,West Adams - Baldwin Hills - Leimert,10,186.03,53.0,Lower pressure / High development
06037115404,Northridge,12,271.8,53.0,Lower pressure / High development
06037111302,Northridge,12,262.33,53.0,Lower pressure / High development
06037109100,Mission Hills - Panorama City - North Hills,7,242.49,52.9,Lower pressure / High development
06037271902,Palms - Mar Vista - Del Rey,11,259.03,52.9,Lower pressure / High development
06037265601,Westwood,5,215.96,52.9,Lower pressure / High development
06037294421,Wilmington - Harbor City,15,77.31,52.9,Lower pressure / Low development
06037212800,Wilshire,10,216.04,52.8,Lower pressure / High development
06037201700,Northeast Los Angeles,14,153.65,52.7,Lower pressure / High development
06037206020,Central City North,14,16.06,52.7,Lower pressure / Low development
06037294620,Wilmington - Harbor City,15,142.6,52.7,Lower pressure / Low development
06037113426,Chatsworth - Porter Ranch,3,161.9,52.5,Lower pressure / High development
06037275605,Palms - Mar Vista - Del Rey,11,10.84,52.5,Lower pressure / Low development
06037137103,Canoga Park-West Hills-Winnetka-Woodland Hills,3,71.15,52.5,Lower pressure / Low development
06037141305,Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,4,118.89,52.5,Lower pressure / Low development
06037212702,Wilshire,5,233.38,52.4,Lower pressure / High development
06037294110,Wilmington - Harbor City,15,163.36,52.3,Lower pressure / High development
06037141304,Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,4,189.57,52.3,Lower pressure / High development
06037104500,Arleta - Pacoima,7,248.83,52.3,Lower pressure / High development
06037123700,North Hollywood - Valley Village,2,275.47,52.3,Lower pressure / High development
06037275200,Palms - Mar Vista - Del Rey,11,146.2,52.3,Lower pressure / Low development
06037207711,Central City,14,4.67,52.1,Lower pressure / Low development
06037267101,West Los Angeles,5,144.85,52.1,Lower pressure / Low development
06037124400,North Hollywood - Valley Village,2,243.92,52.1,Lower pressure / High development
06037132501,Reseda - West Van Nuys,3,222.95,52.1,Lower pressure / High development
06037113234,Chatsworth - Porter Ranch,3,71.97,52.1,Lower pressure / Low development
06037231901,Southeast Los Angeles,9,72.5,52.0,Lower pressure / Low development
06037265203,Westwood,5,87.22,51.9,Lower pressure / Low development
06037131400,Reseda - West Van Nuys,4,206.68,51.8,Lower pressure / High development
06037203900,Boyle Heights,14,132.96,51.8,Lower pressure / Low development
06037234501,West Adams - Baldwin Hills - Leimert,8,330.95,51.8,Lower pressure / High development
06037117102,Mission Hills - Panorama City - North Hills,7,234.61,51.8,Lower pressure / High development
06037124600,Van Nuys - North Sherman Oaks,4,433.67,51.7,Lower pressure / High development
06037109800,Granada Hills - Knollwood,12,364.17,51.7,Lower pressure / High development
06037194402,Hollywood,5,156.21,51.6,Lower pressure / High development
06037194500,Wilshire,5,333.04,51.5,Lower pressure / High development
06037267201,West Los Angeles,5,99.59,51.5,Lower pressure / Low development
06037232402,South Los Angeles,8,115.27,51.5,Lower pressure / Low development
06037218600,West Adams - Baldwin Hills - Leimert,10,253.99,51.4,Lower pressure / High development
